ASSERTION	AAEDAAEBAwAAAAAAAIjDQA==
RUN	io.microsamples.testz.simulation.GetRootsSimulation	getrootssimulation	1572903200171	 	3.2.1
REQUEST	47		get remote chachkies	1572903205875	1572903205910	OK	 
USER	Get Remote Chachkies	47	END	1572903205873	1572903205911
USER	Get Remote Chachkies	48	START	1572903205972	1572903205972
REQUEST	48		get remote chachkies	1572903205972	1572903206004	OK	 
USER	Get Remote Chachkies	48	END	1572903205972	1572903206005
USER	Get Remote Chachkies	49	START	1572903206072	1572903206072
REQUEST	49		get remote chachkies	1572903206072	1572903206110	OK	 
USER	Get Remote Chachkies	49	END	1572903206072	1572903206110
USER	Get Remote Chachkies	50	START	1572903206173	1572903206173
REQUEST	50		get remote chachkies	1572903206174	1572903206210	OK	 
USER	Get Remote Chachkies	50	END	1572903206173	1572903206211
USER	Get Remote Chachkies	51	START	1572903206271	1572903206271
REQUEST	51		get remote chachkies	1572903206272	1572903206308	OK	 
USER	Get Remote Chachkies	51	END	1572903206271	1572903206308
USER	Get Remote Chachkies	52	START	1572903206372	1572903206372
REQUEST	52		get remote chachkies	1572903206373	1572903206406	OK	 
USER	Get Remote Chachkies	52	END	1572903206372	1572903206406
USER	Get Remote Chachkies	53	START	1572903206472	1572903206472
REQUEST	53		get remote chachkies	1572903206473	1572903206513	OK	 
USER	Get Remote Chachkies	53	END	1572903206472	1572903206513
USER	Get Remote Chachkies	54	START	1572903206573	1572903206573
REQUEST	54		get remote chachkies	1572903206574	1572903206606	OK	 
USER	Get Remote Chachkies	54	END	1572903206573	1572903206607
USER	Get Remote Chachkies	55	START	1572903206672	1572903206672
REQUEST	55		get remote chachkies	1572903206672	1572903206714	OK	 
USER	Get Remote Chachkies	55	END	1572903206672	1572903206714
USER	Get Remote Chachkies	56	START	1572903206772	1572903206772
REQUEST	56		get remote chachkies	1572903206773	1572903206805	OK	 
USER	Get Remote Chachkies	56	END	1572903206772	1572903206806
USER	Get Remote Chachkies	57	START	1572903206872	1572903206872
REQUEST	57		get remote chachkies	1572903206872	1572903206908	OK	 
USER	Get Remote Chachkies	57	END	1572903206872	1572903206908
USER	Get Remote Chachkies	58	START	1572903206973	1572903206973
REQUEST	58		get remote chachkies	1572903206973	1572903207009	OK	 
USER	Get Remote Chachkies	58	END	1572903206973	1572903207010
USER	Get Remote Chachkies	59	START	1572903207073	1572903207073
REQUEST	59		get remote chachkies	1572903207074	1572903207111	OK	 
USER	Get Remote Chachkies	59	END	1572903207073	1572903207112
USER	Get Remote Chachkies	60	START	1572903207172	1572903207172
REQUEST	60		get remote chachkies	1572903207173	1572903207210	OK	 
USER	Get Remote Chachkies	60	END	1572903207172	1572903207211
USER	Get Remote Chachkies	61	START	1572903207272	1572903207272
